HG PRD CC SOG WCVI
10.73855 43.71838 42.1364 38.04914 29.99307
7.82963 20.50523 22.4896 42.59676 17.03356
38.39639 33.06766 38.29791 72.4692 25.93965
88.32062 25.17427 43.08457 82.77146 17.01518
82.47462 20.28225 42.3687 71.15363 26.82131
15.81278 26.04498 14.32553 36.56796 36.88286
2.30376 13.45135 11.12015 19.74381 52.48462
7.39353 28.53929 22.9817 31.57836 59.87339
22.10153 49.30434 21.92122 43.24271 28.5527
21.57612 46.35356 24.82951 37.28769 11.51437
28.76161 64.64954 25.33219 33.73802 16.86924
34.65187 64.0696 45.67019 42.73938 31.39489
30.89218 41.06035 27.55201 35.93316 28.34365
12.63967 48.11169 18.17279 29.91945 25.8909
3.72844 22.12867 22.19784 20.18565 19.18874
3.91576 8.57615 4.96554 12.32624 13.33657
4.03329 5.31898 8.94764 5.39131 5.62724
4.48434 4.81933 11.49533 9.04515 11.64903
6.19976 6.52465 13.91368 13.94334 17.31923
12.74592 12.09719 26.25291 23.77721 36.86801
21.2966 11.93215 33.70071 32.10553 68.43721
32.62362 14.27924 35.22094 24.82194 70.51539
47.71398 17.67193 46.92388 27.00238 75.34559
56.90047 21.57429 46.33333 41.69263 89.58014
53.78564 20.63496 49.63593 48.82963 117.73053
42.77065 22.63991 37.82609 57.17097 91.64737
30.44894 15.665 29.79096 67.20596 73.66873
19.61981 9.40501 16.92196 58.74309 59.46692
32.60128 9.38229 48.1811 52.97321 52.83276
76.69476 16.54522 74.13155 57.04926 65.02116
73.76429 18.36802 70.80845 57.68648 61.28985
54.65185 21.38184 66.62177 53.46519 44.88013
46.43313 31.92993 49.99443 35.96402 31.41903
46.40726 39.35425 34.57371 30.89332 36.42316
40.66167 37.46087 35.56013 39.9958 59.75956
30.48983 41.19193 32.56188 58.31751 68.01838
29.66324 44.17803 41.2295 59.93244 59.80518
42.53342 38.58526 59.13954 75.45587 75.86686
41.2629 30.80801 43.06892 69.02013 54.39104
26.20282 30.27378 31.66212 75.31947 41.65398
16.76502 36.94888 33.07031 78.9699 32.57609
17.86288 38.68028 48.83567 96.22823 43.21136
9.91911 31.44305 40.27079 101.60204 39.68068
7.19577 22.90139 28.30807 87.88349 30.67118
9.05044 25.27178 17.59388 83.03353 26.57677
11.4692 32.30002 22.59024 91.32237 32.84932
17.5948 29.33554 35.69112 103.77172 41.10716
18.20391 27.16462 38.65571 97.76704 26.88429
10.38652 27.75428 32.07462 90.02124 17.54306
6.51079 23.77368 26.78373 90.78752 17.08709
6.1985 26.48776 19.48803 118.92064 21.87489
6.67741 27.34114 21.30382 123.91947 25.16579
7.57917 34.95993 27.66063 117.77739 22.33118
5.57834 26.59574 22.06329 92.68229 11.97605
5.46964 19.90285 17.50246 70.65611 4.94919
5.06527 19.11853 9.71547 54.9209 4.84127
6.46452 20.6867 7.83862 61.42395 4.14577
6.31831 19.09962 7.91141 49.28218 3.84028
7.4589 17.98849 10.52112 65.60431 4.08531
5.94822 18.86614 7.81283 47.91754 3.32141
