"age" "length" "weight" "a" "b"
1 0.408 0.065 6.595e-06 3.0488
2 0.588 0.183 3.85e-06 3.19485
3 0.64 0.264 8.04e-06 2.9838
4 0.726 0.34 2.065e-06 3.3703
5 0.769 0.446 5.955e-06 3.0689
6 0.856 0.632 9.17e-06 2.94035
7 0.962 0.886 4.9e-06 3.09845
8 0.972 0.922 1.2395e-05 2.8668
9 1.29 2.12 9.015e-06 2.95415
1 0.426 0.074 5.895e-06 3.05345
2 0.536 0.153 7.115e-06 3.0127
3 0.608 0.229 9.55e-06 2.95915
4 0.65 0.266 5.595e-06 3.0765
5 0.658 0.335 2.766e-05 2.6096
6 0.746 0.405 5.6305e-06 3.0809
7 0.774 0.438 3.5475e-06 3.21785
8 0.825 0.54 3.275e-06 3.1991
9 0.965 0.892 3.2415e-06 3.21185
1 0.455 0.076 2.8535e-06 3.2692
2 0.592 0.178 2.504e-06 3.29745
3 0.636 0.227 2.709e-06 3.27805
4 0.668 0.274 3.3655e-06 3.20865
5 0.693 0.304 2.91e-06 3.2478
6 0.747 0.389 2.835e-06 3.2439
7 0.787 0.455 2.535e-06 3.28915
8 0.948 0.838 2.585e-06 3.28755
9 0.948 0.838 2.39e-06 3.3138
1 0.388 0.04 1.825e-06 3.3955
2 0.567 0.151 2.3e-06 3.32755
3 0.631 0.223 2.86e-06 3.25515
4 0.683 0.287 2.825e-06 3.2721
5 0.721 0.341 2.575e-06 3.295
6 0.735 0.391 6.595e-06 3.0488
7 0.82 0.531 3.85e-06 3.19485
8 0.943 0.839 8.04e-06 2.9838
9 0.956 0.859 2.065e-06 3.3703
1 0.402 0.061 5.955e-06 3.0689
2 0.545 0.168 9.17e-06 2.94035
3 0.609 0.215 4.9e-06 3.09845
4 0.638 0.276 1.2395e-05 2.8668
5 0.684 0.326 9.015e-06 2.95415
6 0.741 0.401 5.895e-06 3.05345
7 0.821 0.553 7.115e-06 3.0127
8 0.973 0.923 9.55e-06 2.95915
9 1.043 1.137 5.595e-06 3.0765
1 0.353 0.066 2.766e-05 2.6096
2 0.562 0.169 5.6305e-06 3.0809
3 0.634 0.231 3.5475e-06 3.21785
