#NB The data herein were taken from the 2010 Pacific Hake Assessment using TINSS.
## ________________________
## ____Model Dimensions____
1977		#first year of data
2009		#last year of data
1			#age of youngest age class
15			#age of plus group
2			#number of gears (ngear)
## flags for fishery (1) or survey (0) in ngears
1	0
## ________________________

## ________________________
#Age-schedule and population parameters
#natural mortality rate (m)
0.23
#growth parameters (linf,k,to)
52, 0.32, 0
#length-weight allometry (a,b)
5e-6, 3.0
#maturity at age (am=log(3)/k) & gm=std for logistic
3.45, 0.35
## ________________________

#Time series data
#Observed catch (1977-2009, 1,000,000 metric t)
#yr	commercial survey
1977 0.132693 0
1978 0.103639 0
1979 0.137115 0
1980 0.089936 0
1981 0.139121 0
1982 0.107734 0
1983 0.113924 0
1984 0.138441 0
1985 0.110401 0
1986 0.210617 0
1987 0.234147 0
1988 0.248804 0
1989 0.305916 0
1990 0.259792 0
1991 0.307258 0
1992 0.296910 0
1993 0.199435 0
1994 0.361529 0
1995 0.249770 0
1996 0.306075 0
1997 0.325215 0
1998 0.320619 0
1999 0.311855 0
2000 0.230820 0
2001 0.235962 0
2002 0.182911 0
2003 0.205582 0
2004 0.334672 0
2005 0.359661 0
2006 0.360683 0
2007 0.297098 0
2008 0.321546 0
2009 0.176671 0



#Relative Abundance index from fisheries independent survey (it) 1970-2008
#nit
13
#iyr    it gear wt
1977 1.915  2  1
1980 2.115  2  1
1983 1.647  2  1
1986 2.857  2  1
1989 1.238  2  1
1992 2.169  2  1
1995 1.385  2  2
1998 1.185  2  2
2001 0.737  2  2
2003 1.840  2  2
2005 1.265  2  2
2007 0.879  2  2
2009 1.460  2  0

#Age composition data by year, gear (ages 2-15+)
#na_gears
2
#na_nobs
33	13
#a_sage
2	2
#a_page
15	15
#yr 	gear       V1       V2       V3       V4       V5       V6       V7       V8       V9      V10      V11      V12      V13      V14
1977    1 0.091087 0.039290 0.208628 0.028500 0.053160 0.211179 0.078270 0.079949 0.063640 0.058483 0.043761 0.029639 0.007592 0.006823
1978    1 0.022968 0.101932 0.068633 0.199094 0.033354 0.071961 0.208406 0.084622 0.072156 0.073040 0.024682 0.021006 0.013116 0.005030
1979    1 0.049457 0.089640 0.100254 0.046571 0.191908 0.071243 0.159754 0.158389 0.056370 0.037676 0.016184 0.010295 0.006469 0.005789
1980    1 0.009331 0.254593 0.042151 0.054263 0.050507 0.143816 0.065236 0.087843 0.169471 0.046122 0.037636 0.023076 0.008874 0.007079
1981    1 0.091224 0.062768 0.280898 0.012851 0.045430 0.047641 0.148751 0.062707 0.066417 0.125977 0.031183 0.012419 0.009671 0.002062
1982    1 0.181412 0.025886 0.016978 0.318964 0.032603 0.045648 0.045099 0.131034 0.027439 0.033879 0.119575 0.010972 0.006862 0.003648
1983    1 0.000322 0.327381 0.030386 0.021774 0.318861 0.034486 0.037515 0.044368 0.095257 0.024331 0.017871 0.037722 0.007340 0.002385
1984    1 0.000000 0.010415 0.546489 0.035445 0.072340 0.185115 0.023775 0.020842 0.014283 0.045333 0.009533 0.007920 0.024390 0.004121
1985    1 0.006798 0.006334 0.065169 0.607023 0.070421 0.058060 0.132423 0.011557 0.006879 0.007111 0.013539 0.002836 0.000000 0.011849
1986    1 0.111570 0.031159 0.007757 0.034088 0.485333 0.058011 0.043959 0.122124 0.022909 0.026576 0.014536 0.026627 0.004392 0.010957
1987    1 0.000000 0.264654 0.016305 0.003861 0.017893 0.540852 0.032262 0.016639 0.080708 0.003902 0.001822 0.005542 0.009811 0.005748
1988    1 0.002907 0.002881 0.325484 0.012085 0.007047 0.010794 0.464716 0.021331 0.009870 0.101698 0.001949 0.004157 0.001274 0.033806
1989    1 0.026833 0.022546 0.009612 0.452262 0.010250 0.004556 0.006132 0.394579 0.015267 0.006758 0.044542 0.000903 0.001179 0.004583
1990    1 0.048604 0.255566 0.024077 0.002273 0.251121 0.006576 0.001663 0.000990 0.323920 0.003924 0.000212 0.072414 0.000146 0.008513
1991    1 0.034754 0.176910 0.169392 0.027073 0.007271 0.316749 0.012094 0.001274 0.001349 0.206127 0.003853 0.000000 0.036791 0.006363
1992    1 0.035191 0.044184 0.126581 0.177710 0.021788 0.007533 0.344623 0.006212 0.001264 0.003920 0.198907 0.004982 0.000449 0.026655
1993    1 0.007327 0.219650 0.032109 0.141618 0.169717 0.014288 0.007544 0.287667 0.008052 0.001062 0.000425 0.104591 0.000492 0.005457
1994    1 0.000419 0.033794 0.194593 0.013819 0.121828 0.200067 0.013059 0.004773 0.307047 0.002355 0.004118 0.000280 0.096116 0.007732
1995    1 0.015172 0.001676 0.067824 0.247580 0.011946 0.076025 0.204514 0.017753 0.003065 0.259156 0.002369 0.003815 0.000000 0.089107
1996    1 0.155201 0.119794 0.007952 0.092629 0.182995 0.011348 0.062955 0.117641 0.007196 0.004787 0.192117 0.000152 0.001182 0.044050
1997    1 0.003320 0.292808 0.225550 0.015138 0.076900 0.137855 0.023476 0.038302 0.073383 0.015622 0.001784 0.063845 0.008784 0.023231
1998    1 0.078999 0.209796 0.176425 0.256621 0.026724 0.051299 0.092465 0.009653 0.017327 0.039036 0.004298 0.001100 0.030568 0.005689
1999    1 0.081647 0.211722 0.181019 0.196830 0.121289 0.024536 0.043645 0.045877 0.009675 0.016122 0.026668 0.006719 0.007091 0.027160
2000    1 0.031229 0.087791 0.141496 0.145797 0.209008 0.117003 0.079190 0.058676 0.020073 0.020671 0.025636 0.014921 0.010884 0.037626
2001    1 0.101860 0.161720 0.147170 0.180056 0.100173 0.138696 0.068275 0.018180 0.019642 0.020480 0.011859 0.011015 0.009238 0.011638
2002    1 0.000361 0.437336 0.158460 0.115792 0.063816 0.051055 0.079963 0.044753 0.010010 0.008598 0.012159 0.001716 0.004788 0.011192
2003    1 0.000558 0.009885 0.662599 0.131923 0.034081 0.055113 0.030260 0.034235 0.019313 0.009771 0.003029 0.005330 0.001132 0.002771
2004    1 0.000371 0.056931 0.078054 0.649859 0.086401 0.023953 0.039404 0.028983 0.013183 0.012676 0.003277 0.002959 0.001744 0.002205
2005    1 0.008720 0.004799 0.070427 0.055023 0.684012 0.084118 0.021823 0.028355 0.019809 0.010432 0.008069 0.002582 0.000360 0.001470
2006    1 0.016047 0.109332 0.016100 0.086023 0.047267 0.606611 0.050565 0.017944 0.019738 0.012433 0.009263 0.004693 0.001532 0.002454
2007    1 0.135250 0.030604 0.145496 0.015585 0.070675 0.041936 0.441809 0.059055 0.018388 0.018549 0.012342 0.004254 0.004551 0.001507
2008    1 0.086419 0.307710 0.023174 0.134343 0.009449 0.035456 0.033322 0.305151 0.032058 0.010867 0.008882 0.005414 0.003330 0.004426
2009    1 0.007237 0.201241 0.298293 0.044466 0.140682 0.014182 0.025967 0.022153 0.193496 0.036166 0.005012 0.004290 0.003855 0.002961
1977    2 0.054308 0.051673 0.322415 0.029524 0.041387 0.358094 0.049372 0.036486 0.020920 0.019594 0.010201 0.003792 0.000997 0.001237
1980    2 0.004557 0.555127 0.053761 0.032569 0.026590 0.117668 0.043603 0.093838 0.037630 0.022180 0.003734 0.006424 0.001338 0.000983
1983    2 0.000265 0.785009 0.026011 0.007869 0.103384 0.016545 0.011402 0.008131 0.022356 0.005273 0.006223 0.006489 0.001042 0.000000
1986    2 0.604601 0.015879 0.002792 0.019748 0.266035 0.028628 0.022778 0.029920 0.003627 0.003812 0.000276 0.001440 0.000463 0.000000
1989    2 0.169990 0.058515 0.012874 0.526835 0.011735 0.004161 0.007554 0.179632 0.009473 0.000722 0.017782 0.000000 0.000000 0.000726
1992    2 0.089253 0.011915 0.069071 0.176823 0.021856 0.008862 0.432238 0.013086 0.007872 0.003964 0.149487 0.007606 0.000000 0.007967
