Type,Area,sector,Catch
Catches,2A,Commercial,0.56
Catches,2B,Commercial,6.13
Catches,2C,Commercial,3.56
Catches,3A,Commercial,8.06
Catches,3B,Commercial,3.26
Catches,4A,Commercial,0.93
Catches,4B,Commercial,1.17
Catches,4CDE,Commercial,1.32
Catches,2A,Sport/Pers.,0.44
Catches,2B,Sport/Pers.,1.36
Catches,2C,Sport/Pers.,2.41
Catches,3A,Sport/Pers.,3.92
Catches,3B,Sport/Pers.,0.04
Catches,4A,Sport/Pers.,0.03
Catches,4B,Sport/Pers.,0
Catches,4CDE,Sport/Pers.,0.03
Catches,2A,bycatch,0.07
Catches,2B,bycatch,0.24
Catches,2C,bycatch,0.02
Catches,3A,bycatch,1.61
Catches,3B,bycatch,1.24
Catches,4A,bycatch,0.91
Catches,4B,bycatch,0.4
Catches,4CDE,bycatch,4.82
Blue Line,2A,Commercial,0.4
Blue Line,2B,Commercial,4.52
Blue Line,2C,Commercial,3.41
Blue Line,3A,Commercial,7.67
Blue Line,3B,Commercial,3.12
Blue Line,4A,Commercial,0.9
Blue Line,4B,Commercial,0.84
Blue Line,4CDE,Commercial,0.66
Blue Line,2A,Sport/Pers.,0.34
Blue Line,2B,Sport/Pers.,1.02
Blue Line,2C,Sport/Pers.,2.06
Blue Line,3A,Sport/Pers.,3.47
Blue Line,3B,Sport/Pers.,0.04
Blue Line,4A,Sport/Pers.,0.04
Blue Line,4B,Sport/Pers.,0
Blue Line,4CDE,Sport/Pers.,0.03
Blue Line,2A,bycatch,0.13
Blue Line,2B,bycatch,0.23
Blue Line,2C,bycatch,0.01
Blue Line,3A,bycatch,1.44
Blue Line,3B,bycatch,0.88
Blue Line,4A,bycatch,1.1
Blue Line,4B,bycatch,0.45
Blue Line,4CDE,bycatch,3.65
